,AnoMes,Municipio,Estado,Regiao,QT_PagadorPF,QT_PagadorPJ,QT_RecebedorPF,QT_RecebedorPJ
0,202310,SANTA INÊS,PARANÁ,SUL,19028,845,11749,943
1,202310,VENTUROSA,PERNAMBUCO,NORDESTE,168625,4116,131035,15700
2,202310,QUEDAS DO IGUAÇU,PARANÁ,SUL,275911,24220,157661,59803
3,202310,SIMÕES FILHO,BAHIA,NORDESTE,2868165,156027,2193194,317694
4,202310,ATALAIA,PARANÁ,SUL,39270,3215,22700,7507
5,202310,TERRA ROXA,PARANÁ,SUL,181469,16822,100065,43906
6,202310,GRAÇA ARANHA,MARANHÃO,NORDESTE,79990,1623,55176,4500
7,202310,ANAURILÂNDIA,MATO GROSSO DO SUL,CENTRO-OESTE,84164,5820,51528,11928
8,202310,TIMBAÚBA,PERNAMBUCO,NORDESTE,723905,17547,557968,69062
9,202310,FAROL,PARANÁ,SUL,32054,741,16583,1716
10,202310,CONTENDA,PARANÁ,SUL,210750,17371,118788,26137
11,202310,FOZ DO JORDÃO,PARANÁ,SUL,55929,3832,28707,7973
12,202310,PARANACITY,PARANÁ,SUL,107174,8460,63235,18972
13,202310,ANAHY,PARANÁ,SUL,21469,1612,13572,4273
14,202310,MANFRINÓPOLIS,PARANÁ,SUL,22602,1689,11053,3400
15,202310,BELÉM DO SÃO FRANCISCO,PERNAMBUCO,NORDESTE,343431,6105,236055,32554
16,202310,PRANCHITA,PARANÁ,SUL,40419,5295,20890,10748
17,202310,GUARACI,PARANÁ,SUL,53651,3726,32397,10644
18,202310,ARARUNA,PARANÁ,SUL,125948,14597,78212,27562
19,202310,GOIOXIM,PARANÁ,SUL,47797,3387,26004,7690
20,202310,PATO BRANCO,PARANÁ,SUL,1057037,1825469,595434,5292868
21,202310,DEODÁPOLIS,MATO GROSSO DO SUL,CENTRO-OESTE,169133,12377,95811,33502
22,202310,GUAIRAÇÁ,PARANÁ,SUL,65501,4082,36103,10774
23,202310,SÃO FRANCISCO DO BREJÃO,MARANHÃO,NORDESTE,118218,2448,80815,11805
24,202310,BOM PROGRESSO,RIO GRANDE DO SUL,SUL,15171,452,8523,1269
25,202310,MANDAGUAÇU,PARANÁ,SUL,308011,39668,188289,76708
26,202310,IRATI,PARANÁ,SUL,586820,65327,344158,155012
27,202310,SOURE,PARÁ,NORTE,376071,10300,272382,28025
28,202310,PORECATU,PARANÁ,SUL,159288,9557,91996,22768
29,202310,SANTA HELENA,PARANÁ,SUL,221463,23020,126041,57468
30,202310,FÁTIMA,TOCANTINS,NORTE,62528,3669,39363,9288
31,202310,LIMOEIRO,PERNAMBUCO,NORDESTE,727058,29248,605157,78030
32,202310,MARMELEIRO,PARANÁ,SUL,125011,21645,70875,39258
33,202310,SÃO CAITANO,PERNAMBUCO,NORDESTE,369878,10226,300084,37563
34,202310,CAPITÃO POÇO,PARÁ,NORTE,546528,27713,409450,98778
35,202310,LARANJAL,PARANÁ,SUL,37700,1601,18756,3600
36,202310,ASSIS CHATEAUBRIAND,PARANÁ,SUL,356675,36882,208606,100591
37,202310,QUARTO CENTENÁRIO,PARANÁ,SUL,43521,2971,22332,6733
38,202310,ÂNGULO,PARANÁ,SUL,29953,3665,19142,6252
39,202310,SALGUEIRO,PERNAMBUCO,NORDESTE,1043072,37536,755007,148910
40,202310,CONSELHEIRO MAIRINCK,PARANÁ,SUL,32793,1830,19563,4816
41,202310,CEDRO,PERNAMBUCO,NORDESTE,158443,2309,111826,8210
42,202310,COLOMBO,PARANÁ,SUL,4048035,356049,2605969,701882
43,202310,NOVA OLÍMPIA,PARANÁ,SUL,54410,3360,37418,9084
44,202310,NOVA CANTU,PARANÁ,SUL,57725,3323,31639,9236
45,202310,CRUZ MACHADO,PARANÁ,SUL,89635,6590,51039,15188
46,202310,TAPEJARA,PARANÁ,SUL,151492,17309,86500,35950
47,202310,JARDIM ALEGRE,PARANÁ,SUL,98986,11053,56666,19563
48,202310,LAGO VERDE,MARANHÃO,NORDESTE,175548,2160,112682,10616
49,202310,DOUTOR CAMARGO,PARANÁ,SUL,57422,5204,34458,10839
50,202310,INDIANÓPOLIS,PARANÁ,SUL,47484,2555,27414,6692
51,202310,IVAÍ,PARANÁ,SUL,109172,6811,56380,14098
52,202310,SÃO JOÃO DO TRIUNFO,PARANÁ,SUL,86702,5625,42630,12727
53,202310,DOM ELISEU,PARÁ,NORTE,780063,45802,535966,126302
54,202310,FAZENDA RIO GRANDE,PARANÁ,SUL,2065487,205265,1356665,417589
55,202310,TERRA RICA,PARANÁ,SUL,147434,11173,90506,30661
56,202310,ITAITUBA,PARÁ,NORTE,2661855,183559,1720589,553799
57,202310,QUINTA DO SOL,PARANÁ,SUL,47375,3533,26352,7957
58,202310,MAMBORÊ,PARANÁ,SUL,134113,9663,71749,24214
59,202310,SÃO PEDRO DO IVAÍ,PARANÁ,SUL,96399,6246,55557,15716
60,202310,BUÍQUE,PERNAMBUCO,NORDESTE,345246,8033,240258,28904
61,202310,TOLEDO,PARANÁ,SUL,1654669,235077,983315,511111
62,202310,SALOÁ,PERNAMBUCO,NORDESTE,127750,4051,82251,17042
63,202310,SANTO INÁCIO,PARANÁ,SUL,55670,5861,33896,13106
64,202310,RIBEIRÃO CLARO,PARANÁ,SUL,106875,9144,63281,24511
65,202310,OLINDA,PERNAMBUCO,NORDESTE,8376251,325277,6449829,1871131
66,202310,ARAPOTI,PARANÁ,SUL,312330,28133,169488,53300
67,202310,SANTA CRUZ DO CAPIBARIBE,PERNAMBUCO,NORDESTE,1873464,84345,1536079,464880
68,202310,AMAPORÃ,PARANÁ,SUL,54113,2260,31593,5349
69,202310,PALMAS,PARANÁ,SUL,505545,41975,276821,97678
70,202310,MARECHAL CÂNDIDO RONDON,PARANÁ,SUL,476560,63301,268244,169347
71,202310,BOA ESPERANÇA,PARANÁ,SUL,43425,3547,24737,9380
72,202310,ESPERANÇA NOVA,PARANÁ,SUL,11117,905,6498,2179
73,202310,JUNDIAÍ DO SUL,PARANÁ,SUL,24075,1206,13576,2002
74,202310,VICÊNCIA,PERNAMBUCO,NORDESTE,291083,5742,202272,18539
75,202310,SANTA TEREZA DO OESTE,PARANÁ,SUL,134808,17463,78772,33801
76,202310,MARILUZ,PARANÁ,SUL,89304,5818,55085,14213
77,202310,PATO BRAGADO,PARANÁ,SUL,44183,6539,21508,15359
78,202310,MAGALHÃES BARATA,PARÁ,NORTE,99499,1340,70851,4746
79,202310,MARILÂNDIA DO SUL,PARANÁ,SUL,90958,5925,51839,12923
80,202310,COLORADO,PARANÁ,SUL,249681,27631,157621,57784
81,202310,PRUDENTÓPOLIS,PARANÁ,SUL,360117,37005,197399,81936
82,202310,AFUÁ,PARÁ,NORTE,254583,7143,179747,18894
83,202310,PAIÇANDU,PARANÁ,SUL,578165,53739,345657,104910
84,202310,CLEVELÂNDIA,PARANÁ,SUL,173181,14558,93414,37547
85,202310,ICATU,MARANHÃO,NORDESTE,206998,1766,138070,7325
86,202310,PÉROLA D'OESTE,PARANÁ,SUL,38572,5017,20362,10626
87,202310,AMPÉRE,PARANÁ,SUL,158832,23553,94838,64134
88,202310,BOM JESUS DO SUL,PARANÁ,SUL,23724,3364,14108,5102
89,202310,JAPURÁ,PARANÁ,SUL,76816,8956,53299,21430
90,202310,SÃO JOÃO,PARANÁ,SUL,75945,11516,42473,22696
91,202310,TERENOS,MATO GROSSO DO SUL,CENTRO-OESTE,179462,13506,111490,29614
92,202310,GRANDES RIOS,PARANÁ,SUL,53853,2719,31853,6657
93,202310,RONCADOR,PARANÁ,SUL,88751,6744,49154,18223
94,202310,GOIOERÊ,PARANÁ,SUL,314525,32668,189451,75669
95,202310,TOMAZINA,PARANÁ,SUL,61622,5019,38117,12442
96,202310,MEDIANEIRA,PARANÁ,SUL,568837,82787,328194,193656
97,202310,CARNAUBEIRA DA PENHA,PERNAMBUCO,NORDESTE,128931,627,77130,3619
98,202310,JOAQUIM NABUCO,PERNAMBUCO,NORDESTE,197972,2577,127539,6302
99,202310,TAPIRA,PARANÁ,SUL,45136,3363,27013,9726
100,202310,JANDAIA DO SUL,PARANÁ,SUL,230040,35321,140640,68015
101,202310,PRESIDENTE SARNEY,MARANHÃO,NORDESTE,182592,2129,113558,5536
102,202310,SÃO PEDRO DO PARANÁ,PARANÁ,SUL,25923,2579,16654,7731
103,202310,CORUMBATAÍ DO SUL,PARANÁ,SUL,28925,1912,17451,4470
104,202310,SANTA CRUZ DE MONTE CASTELO,PARANÁ,SUL,81784,6765,48430,18372
105,202310,SANTA MÔNICA,PARANÁ,SUL,37626,1343,20373,8984
106,202310,SÃO SEBASTIÃO DA AMOREIRA,PARANÁ,SUL,92392,6383,53503,17539
107,202310,RENASCENÇA,PARANÁ,SUL,58904,6189,30295,11855
108,202310,ANGÉLICA,MATO GROSSO DO SUL,CENTRO-OESTE,121612,6978,67610,20147
109,202310,ROLÂNDIA,PARANÁ,SUL,787669,91322,492853,177661
110,202310,CURITIBA,PARANÁ,SUL,27110266,12408339,17786279,55271023
111,202310,BOA ESPERANÇA DO IGUAÇU,PARANÁ,SUL,22839,1299,11025,2876
112,202310,QUATRO PONTES,PARANÁ,SUL,29014,3662,14417,8835
113,202310,CRUZMALTINA,PARANÁ,SUL,23545,1587,13041,2506
114,202310,PIÊN,PARANÁ,SUL,100326,11478,57459,21654
115,202310,AÇAILÂNDIA,MARANHÃO,NORDESTE,2410429,112130,1644455,419347
116,202310,ANDORINHA,BAHIA,NORDESTE,182548,5361,112700,19253
117,202310,N/D,NAO INFORMADO,Nao informado,1432588,6714,1179760,74381
118,202310,SANTA TEREZINHA DE ITAIPU,PARANÁ,SUL,294909,22523,171582,59604
119,202310,SALTO DO ITARARÉ,PARANÁ,SUL,51469,2813,31638,7844
120,202310,MOREIRA SALES,PARANÁ,SUL,89163,5424,50827,14276
121,202310,CARPINA,PERNAMBUCO,NORDESTE,1146767,53606,870078,153645
122,202310,REBOUÇAS,PARANÁ,SUL,121117,11149,65873,23096
123,202310,SÃO CAETANO DE ODIVELAS,PARÁ,NORTE,206128,3957,144068,32231
124,202310,VERA CRUZ DO OESTE,PARANÁ,SUL,83450,5931,45149,14077
125,202310,FAXINAL,PARANÁ,SUL,158869,15258,99886,34001
126,202310,MORRETES,PARANÁ,SUL,207778,19412,129265,32299
127,202310,BOA VISTA DA APARECIDA,PARANÁ,SUL,77529,6672,42539,21492
